GENES	TRBV25-1	TRBV27	TRBV7-6	TRBV7-3	TRBV5-1	TRBV6-4	TRBV4-3	TRBV6-3	TRBV3-1	TRBV5-7	TRBV6-5	TRBV5-6	TRBV5-5	TRBV5-4	TRBV30	TRBV21/OR9-2	TRBV12-4	TRBV7-8	TRBV12-5	TRBV24/OR9-2	TRBV6-6	TRBV6-7	TRBV10-1	TRBV23/OR9-2	TRBV7-4	TRBV4-2	TRBV24-1	TRBV6-1	TRBV20/OR9-2	TRBV12-3	TRBV4-1	TRBV7-7	TRBV20-1	TRBV23-1	TRBV3-2	TRBV19	TRBV11-3	TRBV5-3	TRBV1	TRBV10-3	TRBV10-2	TRBV26/OR9-2	TRBV15	TRBV6-9	TRBV9	TRBV7-9	TRBV21-1	TRBV7-1	TRBV28	TRBV29-1	TRBV26	TRBV2	TRBV11-2	TRBV11-1	TRBV18	TRBV5-8	TRBV14	TRBV16	TRBV6-2	TRBV29/OR9-2	TRBV6-8	TRBV7-2	TRBV13
TRBV5-5	84.0	82.0	67.0	67.0	35.0	82.0	69.0	81.0	70.0	6.0	83.0	10.0	0.0	18.0	74.0	73.0	74.0	68.0	81.0	79.0	78.0	82.0	82.0	53.0	72.0	68.0	79.0	78.0	81.0	74.0	71.0	68.0	82.0	75.0	73.0	84.0	62.0	28.0	75.0	77.0	80.0	85.0	73.0	81.0	43.0	66.0	72.0	69.0	77.0	82.0	84.0	69.0	63.0	62.0	79.0	26.0	72.0	75.0	81.0	85.0	82.0	72.0	37.0
TRBV5-4	78.0	79.0	71.0	69.0	38.0	75.0	68.0	76.0	71.0	19.0	78.0	17.0	18.0	0.0	74.0	71.0	73.0	70.0	79.0	79.0	74.0	78.0	75.0	55.0	73.0	68.0	79.0	74.0	81.0	73.0	70.0	72.0	83.0	72.0	70.0	78.0	67.0	29.0	72.0	74.0	77.0	80.0	75.0	77.0	48.0	67.0	73.0	72.0	77.0	79.0	78.0	70.0	69.0	66.0	77.0	20.0	74.0	74.0	76.0	82.0	77.0	73.0	44.0
TRBV30	74.0	75.0	75.0	70.0	76.0	78.0	76.0	71.0	78.0	74.0	70.0	74.0	74.0	74.0	0.0	82.0	73.0	72.0	77.0	72.0	69.0	68.0	69.0	53.0	72.0	73.0	72.0	70.0	77.0	72.0	79.0	73.0	76.0	77.0	79.0	79.0	76.0	73.0	82.0	70.0	70.0	81.0	77.0	71.0	75.0	78.0	83.0	71.0	75.0	78.0	81.0	77.0	75.0	75.0	81.0	74.0	78.0	80.0	71.0	80.0	73.0	70.0	71.0
TRBV21/OR9-2	80.0	81.0	69.0	69.0	74.0	82.0	66.0	83.0	68.0	75.0	81.0	76.0	73.0	71.0	82.0	0.0	67.0	65.0	78.0	78.0	76.0	81.0	79.0	30.0	68.0	66.0	78.0	79.0	82.0	67.0	67.0	69.0	83.0	45.0	68.0	78.0	69.0	75.0	70.0	71.0	74.0	81.0	76.0	80.0	65.0	60.0	10.0	74.0	84.0	83.0	81.0	56.0	70.0	70.0	64.0	73.0	74.0	47.0	83.0	81.0	80.0	68.0	67.0
TRBV12-4	78.0	69.0	51.0	50.0	72.0	74.0	71.0	75.0	69.0	75.0	73.0	74.0	74.0	73.0	73.0	67.0	0.0	52.0	31.0	72.0	70.0	75.0	75.0	48.0	52.0	72.0	72.0	71.0	78.0	0.0	71.0	51.0	77.0	64.0	74.0	75.0	57.0	74.0	75.0	67.0	68.0	74.0	72.0	73.0	70.0	51.0	64.0	54.0	70.0	81.0	73.0	54.0	55.0	56.0	68.0	76.0	64.0	63.0	75.0	81.0	73.0	52.0	60.0
TRBV7-8	81.0	78.0	20.0	31.0	71.0	79.0	70.0	79.0	75.0	70.0	77.0	69.0	68.0	70.0	72.0	65.0	52.0	0.0	54.0	81.0	72.0	74.0	75.0	52.0	19.0	68.0	81.0	75.0	80.0	52.0	71.0	19.0	81.0	71.0	76.0	75.0	49.0	68.0	70.0	70.0	71.0	78.0	73.0	76.0	71.0	19.0	63.0	31.0	73.0	79.0	78.0	54.0	47.0	48.0	69.0	73.0	56.0	67.0	79.0	82.0	76.0	25.0	68.0
TRBV12-5	86.0	79.0	57.0	55.0	76.0	81.0	76.0	82.0	71.0	82.0	80.0	81.0	81.0	79.0	77.0	78.0	31.0	54.0	0.0	78.0	78.0	79.0	81.0	51.0	55.0	79.0	78.0	78.0	83.0	31.0	77.0	57.0	78.0	73.0	78.0	77.0	63.0	78.0	81.0	72.0	75.0	78.0	82.0	80.0	73.0	56.0	73.0	61.0	78.0	80.0	77.0	64.0	63.0	61.0	72.0	80.0	65.0	64.0	82.0	85.0	79.0	58.0	76.0
TRBV24/OR9-2	61.0	52.0	78.0	82.0	71.0	57.0	76.0	62.0	77.0	80.0	63.0	80.0	79.0	79.0	72.0	78.0	72.0	81.0	78.0	0.0	59.0	62.0	51.0	53.0	75.0	76.0	0.0	61.0	76.0	74.0	79.0	77.0	75.0	75.0	84.0	62.0	80.0	82.0	83.0	49.0	58.0	60.0	72.0	60.0	72.0	75.0	80.0	78.0	44.0	79.0	56.0	71.0	77.0	81.0	85.0	79.0	78.0	75.0	62.0	80.0	64.0	80.0	66.0
TRBV6-6	58.0	48.0	76.0	72.0	78.0	34.0	77.0	24.0	73.0	78.0	9.0	76.0	78.0	74.0	69.0	76.0	70.0	72.0	78.0	59.0	0.0	18.0	38.0	54.0	73.0	79.0	59.0	22.0	74.0	72.0	79.0	73.0	78.0	74.0	74.0	69.0	71.0	75.0	76.0	36.0	34.0	55.0	79.0	15.0	73.0	71.0	74.0	74.0	55.0	78.0	52.0	73.0	74.0	70.0	78.0	79.0	73.0	76.0	24.0	81.0	20.0	76.0	74.0
TRBV6-7	60.0	50.0	76.0	75.0	78.0	35.0	79.0	31.0	73.0	83.0	17.0	82.0	82.0	78.0	68.0	81.0	75.0	74.0	79.0	62.0	18.0	0.0	35.0	56.0	71.0	79.0	61.0	26.0	77.0	74.0	81.0	75.0	78.0	79.0	76.0	71.0	75.0	81.0	82.0	37.0	32.0	63.0	81.0	16.0	75.0	75.0	78.0	77.0	55.0	79.0	61.0	77.0	75.0	78.0	83.0	80.0	75.0	78.0	31.0	81.0	20.0	75.0	74.0
TRBV10-1	60.0	54.0	77.0	77.0	78.0	36.0	75.0	44.0	72.0	82.0	36.0	81.0	82.0	75.0	69.0	79.0	75.0	75.0	81.0	51.0	38.0	35.0	0.0	54.0	69.0	77.0	50.0	40.0	73.0	75.0	79.0	75.0	73.0	74.0	78.0	64.0	76.0	82.0	82.0	18.0	29.0	56.0	81.0	34.0	75.0	78.0	80.0	75.0	51.0	76.0	55.0	75.0	77.0	79.0	81.0	76.0	70.0	79.0	44.0	78.0	41.0	77.0	75.0
TRBV23/OR9-2	52.0	55.0	52.0	57.0	55.0	56.0	45.0	56.0	50.0	54.0	56.0	54.0	53.0	55.0	53.0	30.0	48.0	52.0	51.0	53.0	54.0	56.0	54.0	0.0	55.0	44.0	53.0	57.0	56.0	48.0	45.0	53.0	54.0	3.0	50.0	54.0	54.0	55.0	51.0	57.0	57.0	56.0	57.0	56.0	54.0	51.0	32.0	56.0	54.0	55.0	58.0	48.0	53.0	55.0	44.0	60.0	50.0	31.0	56.0	54.0	56.0	53.0	53.0
TRBV7-4	83.0	75.0	21.0	31.0	68.0	77.0	72.0	78.0	75.0	74.0	77.0	71.0	72.0	73.0	72.0	68.0	52.0	19.0	55.0	75.0	73.0	71.0	69.0	55.0	0.0	73.0	75.0	75.0	78.0	52.0	72.0	19.0	76.0	73.0	77.0	69.0	50.0	71.0	73.0	67.0	66.0	78.0	70.0	74.0	69.0	21.0	65.0	32.0	70.0	79.0	76.0	59.0	51.0	50.0	72.0	71.0	64.0	68.0	78.0	82.0	74.0	30.0	67.0
TRBV4-2	82.0	80.0	68.0	73.0	70.0	79.0	8.0	79.0	51.0	69.0	78.0	70.0	68.0	68.0	73.0	66.0	72.0	68.0	79.0	76.0	79.0	79.0	77.0	44.0	73.0	0.0	76.0	76.0	78.0	70.0	22.0	69.0	79.0	60.0	54.0	77.0	68.0	74.0	37.0	73.0	77.0	79.0	72.0	81.0	69.0	65.0	66.0	76.0	77.0	76.0	78.0	75.0	66.0	70.0	73.0	68.0	74.0	70.0	79.0	77.0	78.0	69.0	68.0
TRBV24-1	61.0	51.0	78.0	82.0	71.0	56.0	76.0	61.0	77.0	80.0	62.0	80.0	79.0	79.0	72.0	78.0	72.0	81.0	78.0	0.0	59.0	61.0	50.0	53.0	75.0	76.0	0.0	60.0	75.0	74.0	79.0	77.0	75.0	75.0	84.0	62.0	80.0	82.0	83.0	48.0	57.0	60.0	72.0	60.0	72.0	75.0	80.0	78.0	43.0	79.0	56.0	71.0	77.0	81.0	85.0	79.0	78.0	75.0	61.0	80.0	64.0	80.0	66.0
TRBV6-1	62.0	54.0	78.0	77.0	78.0	38.0	79.0	23.0	74.0	79.0	21.0	76.0	78.0	74.0	70.0	79.0	71.0	75.0	78.0	61.0	22.0	26.0	40.0	57.0	75.0	76.0	60.0	0.0	74.0	71.0	76.0	77.0	78.0	79.0	77.0	71.0	76.0	80.0	79.0	39.0	37.0	59.0	81.0	22.0	76.0	76.0	76.0	77.0	56.0	77.0	58.0	73.0	77.0	75.0	83.0	79.0	77.0	77.0	23.0	80.0	22.0	76.0	75.0
TRBV20/OR9-2	80.0	78.0	81.0	81.0	81.0	78.0	78.0	77.0	82.0	80.0	73.0	80.0	81.0	81.0	77.0	82.0	78.0	80.0	83.0	76.0	74.0	77.0	73.0	56.0	78.0	78.0	75.0	74.0	0.0	77.0	76.0	82.0	11.0	77.0	82.0	77.0	80.0	81.0	74.0	73.0	78.0	81.0	79.0	73.0	78.0	82.0	80.0	82.0	83.0	48.0	80.0	81.0	82.0	80.0	83.0	81.0	83.0	82.0	77.0	47.0	75.0	81.0	77.0
TRBV12-3	79.0	69.0	51.0	49.0	71.0	74.0	70.0	74.0	67.0	75.0	74.0	74.0	74.0	73.0	72.0	67.0	0.0	52.0	31.0	74.0	72.0	74.0	75.0	48.0	52.0	70.0	74.0	71.0	77.0	0.0	71.0	51.0	76.0	64.0	72.0	73.0	56.0	74.0	76.0	67.0	68.0	73.0	71.0	73.0	70.0	51.0	64.0	53.0	70.0	80.0	72.0	54.0	55.0	55.0	68.0	76.0	64.0	62.0	74.0	81.0	73.0	51.0	59.0
TRBV4-1	81.0	81.0	72.0	73.0	70.0	83.0	21.0	86.0	48.0	73.0	82.0	75.0	71.0	70.0	79.0	67.0	71.0	71.0	77.0	79.0	79.0	81.0	79.0	45.0	72.0	22.0	79.0	76.0	76.0	71.0	0.0	72.0	78.0	62.0	52.0	78.0	71.0	74.0	38.0	75.0	77.0	79.0	69.0	83.0	68.0	66.0	67.0	80.0	82.0	72.0	82.0	75.0	71.0	72.0	76.0	71.0	74.0	69.0	86.0	76.0	80.0	74.0	70.0
TRBV7-7	82.0	77.0	5.0	32.0	67.0	77.0	70.0	77.0	76.0	69.0	74.0	66.0	68.0	72.0	73.0	69.0	51.0	19.0	57.0	77.0	73.0	75.0	75.0	53.0	19.0	69.0	77.0	77.0	82.0	51.0	72.0	0.0	80.0	73.0	77.0	72.0	49.0	69.0	74.0	72.0	73.0	81.0	69.0	71.0	69.0	18.0	65.0	32.0	71.0	79.0	78.0	55.0	53.0	48.0	76.0	69.0	62.0	72.0	77.0	81.0	76.0	27.0	66.0
TRBV20-1	82.0	75.0	81.0	78.0	83.0	78.0	79.0	81.0	85.0	82.0	78.0	83.0	82.0	83.0	76.0	83.0	77.0	81.0	78.0	75.0	78.0	78.0	73.0	54.0	76.0	79.0	75.0	78.0	11.0	76.0	78.0	80.0	0.0	76.0	83.0	78.0	83.0	81.0	76.0	71.0	77.0	79.0	80.0	76.0	77.0	83.0	83.0	80.0	79.0	51.0	79.0	80.0	80.0	83.0	83.0	83.0	83.0	81.0	81.0	51.0	75.0	80.0	77.0
TRBV23-1	75.0	74.0	70.0	71.0	71.0	80.0	59.0	82.0	68.0	78.0	77.0	77.0	75.0	72.0	77.0	45.0	64.0	71.0	73.0	75.0	74.0	79.0	74.0	3.0	73.0	60.0	75.0	79.0	77.0	64.0	62.0	73.0	76.0	0.0	69.0	77.0	67.0	74.0	71.0	75.0	76.0	75.0	76.0	76.0	72.0	66.0	46.0	75.0	77.0	74.0	77.0	66.0	66.0	70.0	66.0	75.0	68.0	50.0	82.0	76.0	80.0	72.0	72.0
TRBV3-2	81.0	81.0	77.0	75.0	73.0	77.0	54.0	83.0	10.0	75.0	80.0	76.0	73.0	70.0	79.0	68.0	74.0	76.0	78.0	84.0	74.0	76.0	78.0	50.0	77.0	54.0	84.0	77.0	82.0	72.0	52.0	77.0	83.0	69.0	0.0	81.0	69.0	72.0	57.0	73.0	76.0	81.0	74.0	80.0	64.0	75.0	66.0	74.0	84.0	81.0	82.0	72.0	72.0	72.0	77.0	72.0	73.0	69.0	83.0	83.0	77.0	79.0	63.0
TRBV19	74.0	58.0	73.0	77.0	83.0	72.0	77.0	72.0	81.0	83.0	72.0	82.0	84.0	78.0	79.0	78.0	75.0	75.0	77.0	62.0	69.0	71.0	64.0	54.0	69.0	77.0	62.0	71.0	77.0	73.0	78.0	72.0	78.0	77.0	81.0	0.0	79.0	82.0	79.0	57.0	62.0	66.0	77.0	73.0	78.0	69.0	77.0	79.0	52.0	78.0	62.0	76.0	77.0	79.0	83.0	80.0	80.0	78.0	72.0	80.0	70.0	73.0	81.0
TRBV11-3	78.0	78.0	46.0	47.0	67.0	77.0	68.0	76.0	67.0	65.0	75.0	64.0	62.0	67.0	76.0	69.0	57.0	49.0	63.0	80.0	71.0	75.0	76.0	54.0	50.0	68.0	80.0	76.0	80.0	56.0	71.0	49.0	83.0	67.0	69.0	79.0	0.0	66.0	79.0	75.0	73.0	76.0	70.0	73.0	65.0	46.0	65.0	52.0	74.0	78.0	75.0	60.0	17.0	14.0	64.0	65.0	59.0	66.0	76.0	79.0	75.0	51.0	66.0
TRBV5-3	82.0	82.0	70.0	67.0	31.0	83.0	74.0	82.0	67.0	30.0	83.0	26.0	28.0	29.0	73.0	75.0	74.0	68.0	78.0	82.0	75.0	81.0	82.0	55.0	71.0	74.0	82.0	80.0	81.0	74.0	74.0	69.0	81.0	74.0	72.0	82.0	66.0	0.0	76.0	74.0	80.0	85.0	74.0	82.0	48.0	67.0	73.0	70.0	78.0	80.0	84.0	69.0	71.0	67.0	81.0	33.0	75.0	76.0	82.0	82.0	82.0	73.0	44.0
TRBV1	81.0	82.0	75.0	75.0	74.0	82.0	39.0	83.0	51.0	75.0	81.0	78.0	75.0	72.0	82.0	70.0	75.0	70.0	81.0	83.0	76.0	82.0	82.0	51.0	73.0	37.0	83.0	79.0	74.0	76.0	38.0	74.0	76.0	71.0	57.0	79.0	79.0	76.0	0.0	76.0	78.0	79.0	75.0	82.0	73.0	71.0	72.0	76.0	82.0	75.0	80.0	73.0	75.0	80.0	78.0	73.0	76.0	73.0	83.0	78.0	81.0	71.0	75.0
TRBV10-3	56.0	47.0	72.0	73.0	78.0	37.0	73.0	39.0	71.0	78.0	34.0	78.0	77.0	74.0	70.0	71.0	67.0	70.0	72.0	49.0	36.0	37.0	18.0	57.0	67.0	73.0	48.0	39.0	73.0	67.0	75.0	72.0	71.0	75.0	73.0	57.0	75.0	74.0	76.0	0.0	27.0	52.0	71.0	33.0	74.0	71.0	73.0	68.0	42.0	75.0	53.0	64.0	74.0	74.0	77.0	76.0	69.0	75.0	39.0	76.0	39.0	72.0	70.0
TRBV10-2	61.0	52.0	74.0	72.0	76.0	39.0	75.0	42.0	71.0	82.0	34.0	81.0	80.0	77.0	70.0	74.0	68.0	71.0	75.0	58.0	34.0	32.0	29.0	57.0	66.0	77.0	57.0	37.0	78.0	68.0	77.0	73.0	77.0	76.0	76.0	62.0	73.0	80.0	78.0	27.0	0.0	56.0	78.0	31.0	75.0	74.0	76.0	72.0	53.0	74.0	55.0	77.0	73.0	74.0	82.0	77.0	79.0	77.0	42.0	78.0	36.0	73.0	77.0
TRBV26/OR9-2	65.0	53.0	82.0	77.0	78.0	58.0	76.0	60.0	78.0	84.0	58.0	85.0	85.0	80.0	81.0	81.0	74.0	78.0	78.0	60.0	55.0	63.0	56.0	56.0	78.0	79.0	60.0	59.0	81.0	73.0	79.0	81.0	79.0	75.0	81.0	66.0	76.0	85.0	79.0	52.0	56.0	0.0	81.0	58.0	79.0	76.0	79.0	74.0	52.0	78.0	9.0	78.0	76.0	79.0	84.0	80.0	79.0	81.0	60.0	81.0	62.0	77.0	82.0
TRBV15	80.0	82.0	70.0	69.0	73.0	82.0	73.0	83.0	75.0	73.0	83.0	73.0	73.0	75.0	77.0	76.0	72.0	73.0	82.0	72.0	79.0	81.0	81.0	57.0	70.0	72.0	72.0	81.0	79.0	71.0	69.0	69.0	80.0	76.0	74.0	77.0	70.0	74.0	75.0	71.0	78.0	81.0	0.0	82.0	73.0	67.0	73.0	75.0	72.0	77.0	83.0	68.0	73.0	71.0	86.0	75.0	80.0	75.0	83.0	76.0	77.0	73.0	64.0
TRBV6-9	62.0	53.0	74.0	75.0	80.0	31.0	79.0	24.0	75.0	82.0	12.0	79.0	81.0	77.0	71.0	80.0	73.0	76.0	80.0	60.0	15.0	16.0	34.0	56.0	74.0	81.0	60.0	22.0	73.0	73.0	83.0	71.0	76.0	76.0	80.0	73.0	73.0	82.0	82.0	33.0	31.0	58.0	82.0	0.0	76.0	74.0	78.0	75.0	56.0	74.0	57.0	77.0	75.0	73.0	83.0	80.0	77.0	78.0	24.0	77.0	21.0	78.0	76.0
TRBV9	76.0	76.0	69.0	69.0	46.0	76.0	71.0	76.0	63.0	46.0	77.0	45.0	43.0	48.0	75.0	65.0	70.0	71.0	73.0	72.0	73.0	75.0	75.0	54.0	69.0	69.0	72.0	76.0	78.0	70.0	68.0	69.0	77.0	72.0	64.0	78.0	65.0	48.0	73.0	74.0	75.0	79.0	73.0	76.0	0.0	69.0	65.0	64.0	77.0	78.0	79.0	66.0	70.0	66.0	73.0	49.0	70.0	67.0	76.0	80.0	76.0	69.0	37.0
TRBV7-9	76.0	74.0	18.0	35.0	64.0	77.0	67.0	78.0	75.0	68.0	75.0	65.0	66.0	67.0	78.0	60.0	51.0	19.0	56.0	75.0	71.0	75.0	78.0	51.0	21.0	65.0	75.0	76.0	82.0	51.0	66.0	18.0	83.0	66.0	75.0	69.0	46.0	67.0	71.0	71.0	74.0	76.0	67.0	74.0	69.0	0.0	55.0	35.0	72.0	81.0	75.0	57.0	47.0	43.0	70.0	69.0	63.0	66.0	78.0	82.0	76.0	32.0	66.0
TRBV21-1	79.0	79.0	66.0	68.0	71.0	81.0	64.0	79.0	64.0	74.0	78.0	74.0	72.0	73.0	83.0	10.0	64.0	63.0	73.0	80.0	74.0	78.0	80.0	32.0	65.0	66.0	80.0	76.0	80.0	64.0	67.0	65.0	83.0	46.0	66.0	77.0	65.0	73.0	72.0	73.0	76.0	79.0	73.0	78.0	65.0	55.0	0.0	71.0	82.0	82.0	78.0	55.0	69.0	64.0	64.0	72.0	68.0	46.0	79.0	82.0	78.0	68.0	62.0
TRBV7-1	81.0	73.0	32.0	29.0	71.0	77.0	76.0	79.0	74.0	72.0	79.0	69.0	69.0	72.0	71.0	74.0	54.0	31.0	61.0	78.0	74.0	77.0	75.0	56.0	32.0	76.0	78.0	77.0	82.0	53.0	80.0	32.0	80.0	75.0	74.0	79.0	52.0	70.0	76.0	68.0	72.0	74.0	75.0	75.0	64.0	35.0	71.0	0.0	72.0	82.0	73.0	60.0	56.0	52.0	78.0	70.0	66.0	77.0	79.0	84.0	78.0	20.0	64.0
TRBV28	55.0	39.0	75.0	77.0	82.0	56.0	77.0	57.0	79.0	77.0	57.0	79.0	77.0	77.0	75.0	84.0	70.0	73.0	78.0	44.0	55.0	55.0	51.0	54.0	70.0	77.0	43.0	56.0	83.0	70.0	82.0	71.0	79.0	77.0	84.0	52.0	74.0	78.0	82.0	42.0	53.0	52.0	72.0	56.0	77.0	72.0	82.0	72.0	0.0	84.0	47.0	73.0	75.0	75.0	83.0	75.0	74.0	78.0	57.0	83.0	58.0	75.0	74.0
